year,country,cluster,pop,life_expect,fertility
2000,Afghanistan,0,23898198,42.129,7.4792
2000,Argentina,3,37497728,74.34,2.35
2000,Aruba,3,69539,73.451,2.124
2000,Australia,4,19164620,80.37,1.756
2000,Austria,1,8113413,78.98,1.382
2000,Bahamas,3,290075,71.068,2.1111
2000,Bangladesh,0,130406594,62.013,3.224
2000,Barbados,3,273483,75.97,1.5
2000,Belgium,1,10263618,78.32,1.638
2000,Bolivia,3,8152620,63.883,3.9585
2000,Brazil,3,175552771,71.006,2.345
2000,Canada,3,31278097,79.77,1.522
2000,Chile,3,15153450,77.86,2
2000,China,4,1262645000,72.028,1.7
2000,Colombia,3,39685655,71.682,2.4705
2000,Costa Rica,3,3710558,78.123,2.2815
2000,Croatia,1,4410830,74.876,1.348
2000,Cuba,3,11134273,77.158,1.63
2000,Dominican Republic,3,8385828,70.847,2.95
2000,Ecuador,3,12505204,74.173,2.8175
2000,Egypt,5,70492342,69.806,3.174
2000,El Salvador,3,6122515,70.734,2.883
2000,Finland,1,5168595,78.37,1.754
2000,France,1,59381628,79.59,1.8833
2000,Georgia,1,4777209,70.476,1.478
2000,Germany,1,82187909,78.67,1.346
2000,Greece,1,10559110,78.256,1.277
2000,Grenada,3,89312,67.746,2.429
2000,Haiti,3,7306302,58.137,4
2000,Hong Kong,4,6658720,81.495,0.94
2000,Iceland,1,281043,80.5,1.993
2000,India,0,1007702000,62.879,3.1132
2000,Indonesia,4,206265000,68.588,2.3761
2000,Iran,5,65660289,69.451,2.124
2000,Iraq,5,22675617,57.046,4.858
2000,Ireland,1,3791690,77.783,1.969
2000,Israel,5,5842454,79.696,2.906
2000,Italy,1,57719337,80.24,1.286
2000,Jamaica,3,2615467,72.047,2.628
2000,Japan,4,126699784,82,1.291
2000,Kenya,2,29985839,50.992,5
2000,South Korea,4,21647682,66.662,1.9173
2000,North Korea,4,47351083,77.045,1.242
2000,Lebanon,5,3578036,71.028,2.319
2000,Mexico,3,99926620,74.902,2.4005
2000,Netherlands,1,15907853,78.53,1.726
2000,New Zealand,4,3819762,79.11,1.964
2000,Nigeria,2,114306700,46.608,5.845
2000,Norway,1,4492400,79.05,1.801
2000,Pakistan,0,146342958,63.61,3.9936
2000,Peru,3,25979722,69.906,2.7005
2000,Philippines,4,79739825,70.303,3.5436
2000,Poland,1,38654164,74.67,1.251
2000,Portugal,1,10335597,77.29,1.454
2000,Rwanda,2,7507056,43.413,6.01
2000,Saudi Arabia,5,23153090,71.626,3.81
2000,South Africa,2,44066197,53.365,2.802
2000,Spain,1,40016081,79.78,1.287
2000,Switzerland,1,7266920,80.62,1.415
2000,Turkey,1,65666677,70.845,2.23
2000,United Kingdom,1,59522468,78.471,1.695
2000,United States,3,282338631,77.31,2.038
2000,Venezuela,3,23542649,72.766,2.723
