year,country,cluster,pop,life_expect,fertility
1955,Afghanistan,A,8891209,30.332,7.7
1960,Afghanistan,A,9829450,31.997,7.7
1965,Afghanistan,A,10997885,34.02,7.7
1970,Afghanistan,A,12430623,36.088,7.7
1975,Afghanistan,A,14132019,38.438,7.7
1980,Afghanistan,A,15112149,39.854,7.8
1985,Afghanistan,A,13796928,40.822,7.9
1990,Afghanistan,A,14669339,41.674,8
1995,Afghanistan,A,20881480,41.763,8
2000,Afghanistan,A,23898198,42.129,7.4792
2005,Afghanistan,A,29928987,43.828,7.0685
1955,Argentina,D,18927821,64.399,3.1265
1960,Argentina,D,20616009,65.142,3.0895
1965,Argentina,D,22283100,65.634,3.049
1970,Argentina,D,23962313,67.065,3.1455
1975,Argentina,D,26081880,68.481,3.44
1980,Argentina,D,28369799,69.942,3.15
1985,Argentina,D,30675059,70.774,3.053
1990,Argentina,D,33022202,71.868,2.9
1995,Argentina,D,35311049,73.275,2.63
2000,Argentina,D,37497728,74.34,2.35
2005,Argentina,D,39537943,75.32,2.254
1955,Aruba,D,53865,64.381,5.15
1960,Aruba,D,57203,66.606,4.399
1965,Aruba,D,59020,68.336,3.301
1970,Aruba,D,59039,70.941,2.651
1975,Aruba,D,59390,71.83,2.45
1980,Aruba,D,60266,74.116,2.358
1985,Aruba,D,64129,74.494,2.3
1990,Aruba,D,66653,74.108,2.28
1995,Aruba,D,67836,73.011,2.208
2000,Aruba,D,69539,73.451,2.124
2005,Aruba,D,71566,74.239,2.04
1955,Australia,E,9277087,70.33,3.406
1960,Australia,E,10361273,70.93,3.274
1965,Australia,E,11439384,71.1,2.871
1970,Australia,E,12660160,71.93,2.535
1975,Australia,E,13771400,73.49,1.989
1980,Australia,E,14615900,74.74,1.907
1985,Australia,E,15788300,76.32,1.859
1990,Australia,E,17022133,77.56,1.86
1995,Australia,E,18116171,78.83,1.776
2000,Australia,E,19164620,80.37,1.756
2005,Australia,E,20090437,81.235,1.788
1955,Austria,B,6946885,67.48,2.52
1960,Austria,B,7047437,69.54,2.78
1965,Austria,B,7270889,70.14,2.53
1970,Austria,B,7467086,70.63,2.02
1975,Austria,B,7578903,72.17,1.64
1980,Austria,B,7549433,73.18,1.62
1985,Austria,B,7559776,74.94,1.45
1990,Austria,B,7722953,76.04,1.47
1995,Austria,B,8047433,77.51,1.388
2000,Austria,B,8113413,78.98,1.382
2005,Austria,B,8184691,79.829,1.42
1955,Bahamas,D,87138,62.405,4.305
1960,Bahamas,D,112234,64.209,4.503
1965,Bahamas,D,139205,65.795,3.794
1970,Bahamas,D,170323,66.515,3.444
1975,Bahamas,D,189139,67.199,3.221
1980,Bahamas,D,209944,67.874,3.16
1985,Bahamas,D,234988,69.524,2.62
1990,Bahamas,D,257253,69.171,2.6
1995,Bahamas,D,275303,68.472,2.4
2000,Bahamas,D,290075,71.068,2.1111
2005,Bahamas,D,301790,73.495,2.0221
1955,Bangladesh,A,49601520,39.348,6.76
1960,Bangladesh,A,54621538,41.216,6.85
1965,Bangladesh,A,60332117,43.453,6.6
1970,Bangladesh,A,67402621,45.252,6.15
1975,Bangladesh,A,76253310,46.923,5.6
1980,Bangladesh,A,88076996,50.009,5.25
1985,Bangladesh,A,99752733,52.819,4.629
1990,Bangladesh,A,109896945,56.018,4.117
1995,Bangladesh,A,119186448,59.412,3.5043
2000,Bangladesh,A,130406594,62.013,3.224
2005,Bangladesh,A,144319628,64.062,2.826
1955,Barbados,D,227255,62.57,4.67
1960,Barbados,D,232339,65.87,4.26
1965,Barbados,D,234980,67.62,3.45
1970,Barbados,D,238756,69.42,2.74
1975,Barbados,D,247147,71.27,2.19
1980,Barbados,D,251966,72.695,1.92
1985,Barbados,D,257446,74.027,1.75
1990,Barbados,D,262624,74.894,1.6
1995,Barbados,D,267907,74.912,1.5
2000,Barbados,D,273483,75.97,1.5
2005,Barbados,D,278870,77.296,1.5
1955,Belgium,B,8868475,69.24,2.496
1960,Belgium,B,9118700,70.25,2.644
1965,Belgium,B,9448100,70.94,2.392
1970,Belgium,B,9637800,71.44,2.015
1975,Belgium,B,9794800,72.8,1.705
1980,Belgium,B,9846800,73.93,1.595
1985,Belgium,B,9858200,75.35,1.559
1990,Belgium,B,9969310,76.46,1.613
1995,Belgium,B,10155459,77.53,1.604
2000,Belgium,B,10263618,78.32,1.638
2005,Belgium,B,10364388,79.441,1.646
1955,Bolivia,D,3074311,41.89,6.75
1960,Bolivia,D,3434073,43.428,6.63
1965,Bolivia,D,3853315,45.032,6.56
1970,Bolivia,D,4346218,46.714,6.5
1975,Bolivia,D,4914316,50.023,5.8
1980,Bolivia,D,5441298,53.859,5.2995
1985,Bolivia,D,5934935,57.251,5
1990,Bolivia,D,6573900,59.957,4.8
1995,Bolivia,D,7376582,62.05,4.324
2000,Bolivia,D,8152620,63.883,3.9585
2005,Bolivia,D,8857870,65.554,3.5
1955,Brazil,D,61773546,53.285,6.1501
1960,Brazil,D,71694810,55.665,6.1501
1965,Brazil,D,83092908,57.632,5.38
1970,Brazil,D,95684297,59.504,4.7175
1975,Brazil,D,108823732,61.489,4.305
1980,Brazil,D,122958132,63.336,3.8
1985,Brazil,D,137302933,65.205,3.1
1990,Brazil,D,151083809,67.057,2.6
1995,Brazil,D,163542501,69.388,2.45
2000,Brazil,D,175552771,71.006,2.345
2005,Brazil,D,186112794,72.39,2.245
1955,Canada,D,16050356,69.96,3.882
1960,Canada,D,18266765,71.3,3.675
1965,Canada,D,20071104,72.13,2.61
1970,Canada,D,21749986,72.88,1.976
1975,Canada,D,23209200,74.21,1.734
1980,Canada,D,24593300,75.76,1.634
1985,Canada,D,25941600,76.86,1.616
1990,Canada,D,27790600,77.95,1.694
1995,Canada,D,29619002,78.61,1.564
2000,Canada,D,31278097,79.77,1.522
2005,Canada,D,32805041,80.653,1.527
1955,Chile,D,6743269,56.074,5.486
1960,Chile,D,7585349,57.924,5.4385
1965,Chile,D,8509950,60.523,4.4405
1970,Chile,D,9368558,63.441,3.63
1975,Chile,D,10251542,67.052,2.803
1980,Chile,D,11093718,70.565,2.671
1985,Chile,D,12066701,72.492,2.65
1990,Chile,D,13127760,74.126,2.55
1995,Chile,D,14205449,75.816,2.21
2000,Chile,D,15153450,77.86,2
2005,Chile,D,15980912,78.553,1.944
1955,China,E,608655000,50.54896,5.59
1960,China,E,667070000,44.50136,5.72
1965,China,E,715185000,58.38112,6.06
1970,China,E,818315000,63.11888,4.86
1975,China,E,916395000,63.96736,3.32
1980,China,E,981235000,65.525,2.55
1985,China,E,1051040000,67.274,2.46
